City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,inhambane,MZ,-23.865,35.3833,76.98,94,75,6.91,drizzle
317,elat,IL,29.5581,34.9482,49.84,53,0,4.61,clear sky
318,sept-iles,CA,50.2001,-66.3821,-1.77,48,0,3.44,clear sky
319,poronaysk,RU,49.2167,143.1167,19.15,76,100,18.59,overcast clouds
320,goure,NE,13.9835,10.2704,60.03,20,0,14.43,clear sky
321,ust-kuyga,RU,70.0167,135.6,-42.3,100,100,3.76,overcast clouds
322,bandarbeyla,SO,9.4942,50.8122,78.6,62,18,10.31,few clouds
323,caravelas,BR,-17.7125,-39.2481,74.17,92,100,3.47,overcast clouds
324,gbadolite,CD,4.2833,21.0167,81.12,24,78,4.83,broken clouds
325,arman,RU,59.7,150.1667,5.16,76,37,10.36,scattered clouds
326,jaumave,MX,23.4167,-99.3833,35.96,74,0,3.62,clear sky
327,izhevskoye,RU,54.5567,40.8703,8.69,95,100,7.29,overcast clouds
328,jhargram,IN,22.45,86.9833,72.81,30,8,5.26,clear sky
329,sola,VU,-13.8833,167.55,81.27,74,100,0.0,moderate rain
330,placido de castro,BR,-10.3353,-67.1856,71.8,100,100,2.08,overcast clouds
331,doka,SD,13.5167,35.7667,71.62,33,0,10.92,clear sky
332,san vicente,AR,-26.6167,-54.1333,62.04,98,99,2.37,overcast clouds
333,lumsden,CA,50.6501,-104.8678,4.28,100,96,3.27,overcast clouds
334,traverse city,US,44.7631,-85.6206,24.98,79,100,4.0,overcast clouds
335,hualmay,PE,-11.0964,-77.6139,68.49,86,94,7.0,overcast clouds
336,aksu,CN,41.1231,80.2644,28.6,48,100,3.44,overcast clouds
337,nassau,US,40.7507,-73.5829,19.92,66,0,1.99,clear sky
338,praia da vitoria,PT,38.7333,-27.0667,57.45,94,40,13.96,scattered clouds
339,tiksi,RU,71.6872,128.8694,-22.52,99,99,5.17,overcast clouds
340,inirida,CO,3.8653,-67.9239,72.46,96,99,1.57,overcast clouds
341,aykhal,RU,66.0,111.5,-10.59,97,100,3.47,overcast clouds
342,luderitz,NA,-26.6481,15.1594,68.05,81,54,4.54,broken clouds
343,lundazi,ZM,-12.2929,33.1782,64.15,96,100,5.08,light rain
344,adrar,MR,20.5022,-10.0711,59.99,11,0,8.72,clear sky
345,kabul,AF,34.5,69.4167,34.07,50,100,1.1,overcast clouds
346,burns lake,CA,54.2331,-125.7533,36.82,96,100,5.86,overcast clouds
347,hlinsko,CZ,49.7621,15.9076,37.13,96,100,20.0,light snow
348,san felipe,VE,10.3399,-68.7425,70.32,93,96,3.29,overcast clouds
349,razole,IN,16.4833,81.8333,82.69,41,98,7.16,overcast clouds
350,sangar,RU,63.9242,127.4739,-28.07,98,99,4.16,overcast clouds
351,nemuro,JP,43.3236,145.575,25.23,65,84,24.02,broken clouds
352,jurado,CO,7.1053,-77.7641,71.67,92,22,6.4,few clouds
353,florianopolis,BR,-27.6146,-48.5012,74.7,87,75,1.01,broken clouds
354,ahipara,NZ,-35.1667,173.1667,71.01,98,100,6.53,light rain
355,granville,AU,-33.8333,151.0167,75.38,64,20,3.0,few clouds
356,cairns,AU,-16.9167,145.7667,84.15,65,75,12.66,broken clouds
357,verkhnetulomskiy,RU,68.6073,31.7962,17.73,84,100,9.46,overcast clouds
358,raudeberg,NO,61.9875,5.1352,34.86,85,37,10.0,scattered clouds
