City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,port-gentil,GA,79.09,few clouds,-0.7193,8.7815,Fengshui Residence
494,edd,ER,77.76,overcast clouds,13.9297,41.6925,
505,mahajanga,MG,86.02,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
509,akyab,MM,77.47,overcast clouds,20.15,92.9,Hotel Memory
510,nacala,MZ,83.52,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
511,bathsheba,BB,75.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
512,bac lieu,VN,86.4,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
519,paracuru,BR,81.1,few clouds,-3.41,-39.0306,Hotel Vento Brasil
527,kavaratti,IN,78.33,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
529,casino,AU,78.75,few clouds,-28.8667,153.05,Squatters Homestead Motel
531,ranong,TH,89.53,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
541,iquitos,PE,75.24,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
550,denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
551,paka,MY,85.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
554,panama city,PA,77.13,few clouds,8.9936,-79.5197,Riande Urban Hotel
560,phan thiet,VN,88.36,scattered clouds,10.9333,108.1,Hotel Saigon-PT
563,boueni,YT,87.78,scattered clouds,-12.9025,45.0761,The feet in water
570,obo,CF,75.69,overcast clouds,5.3998,26.4869,
575,odweyne,SO,77.88,broken clouds,9.4092,45.064,Eng Hiirey House
577,manggar,ID,83.34,overcast clouds,-2.8833,108.2667,Guest Hotel
582,anloga,GH,77.22,light rain,5.7947,0.8973,Pin Drop Hotel
584,sorong,ID,84.15,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
590,dumai,ID,82.85,heavy intensity rain,1.6833,101.45,Grand Zuri Dumai
596,itarema,BR,77.14,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
597,madang,PG,83.16,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
601,boyolangu,ID,84.25,light rain,-8.1181,111.8935,Yos ega cv
606,tambura,SS,75.47,overcast clouds,5.6,27.4667,Rikito Lodge
607,vaitape,PF,81.36,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
613,cilegon,ID,89.49,broken clouds,-6.0174,106.0538,Amaris Hotel Cilegon
619,grand-lahou,CI,78.08,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
629,port moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
632,yulara,AU,89.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
636,tadine,NC,81.82,scattered clouds,-21.55,167.8833,
639,port blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
651,calvinia,ZA,82.22,overcast clouds,-31.4707,19.776,Die Lemoenhuis
652,dhidhdhoo,MV,80.74,broken clouds,6.8833,73.1,Dhidhoo beach
654,pouembout,NC,78.69,overcast clouds,-21.1333,164.9,Camping de Tipenga
657,lubao,PH,89.62,overcast clouds,14.9167,120.55,Hacienda Gracia
658,boende,CD,81.01,overcast clouds,-0.2167,20.8667,
663,teahupoo,PF,76.96,broken clouds,-17.8333,-149.2667,Vanira Lodge
667,gouyave,GD,77.77,scattered clouds,12.1646,-61.7296,Rumboat Retreat
674,asuncion,PY,76.44,clear sky,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
675,jodiya,IN,76.68,clear sky,22.6925,70.306,Bahucharaji Hotel
677,koumac,NC,77.65,overcast clouds,-20.5667,164.2833,Le Monitel
678,pennadam,IN,86.32,overcast clouds,11.4,79.2333,Muthu Home Lodge A/C
680,axim,GH,78.46,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
692,jinka,ET,80.17,overcast clouds,5.65,36.65,
696,japura,ID,75.78,moderate rain,-0.3167,102.35,Rumah mbah Jamah
697,emerald,AU,86.34,broken clouds,-23.5333,148.1667,The Irish Village
700,byron bay,AU,78.91,overcast clouds,-28.65,153.6167,Backpackers Inn
701,warri,NG,77.29,clear sky,5.5167,5.75,BON Hotel Delta
